occupation_title,annual_wage,ai_exposure,risk_reward_quadrant
"Environmental engineers",104170,0.5,"High Wage / High Risk"
"Elementary, middle, and high school principals",104070,0.455,"High Wage / High Risk"
"Postsecondary education administrators",103960,0.476,"High Wage / High Risk"
"Biochemists and biophysicists",103650,0.443,"High Wage / High Risk"
"Power plant operators, distributors, and dispatchers",103600,0.154,"High Wage / Low Risk"
"Mechanical engineers",102320,0.501,"High Wage / High Risk"
"Personal financial advisors",102140,0.671,"High Wage / High Risk"
"Transportation, storage, and distribution managers",102010,0.473,"High Wage / High Risk"
"Radiation therapists",101990,0.171,"High Wage / Low Risk"
Sociologists,101690,0.615,"High Wage / High Risk"
"Management analysts",101190,0.5,"High Wage / High Risk"
"Industrial engineers",101140,0.52,"High Wage / High Risk"
"Mining and geological engineers",101020,0.5,"High Wage / High Risk"
"Physical therapists",101020,0.34,"High Wage / Low Risk"
"Project management specialists",100750,0.4,"High Wage / High Risk"
"Medical scientists",100590,0.568,"High Wage / High Risk"
"Special effects artists and animators",99800,0.475,"High Wage / High Risk"
"Civil engineers",99590,0.455,"High Wage / High Risk"
Geoscientists,99240,0.478,"High Wage / High Risk"
"Genetic counselors",98910,0.632,"High Wage / High Risk"
"Occupational therapists",98340,0.341,"High Wage / Low Risk"
"Atmospheric scientists, including meteorologists",97450,0.609,"High Wage / High Risk"
Geographers,97200,0.375,"High Wage / High Risk"
"Nuclear medicine technologists",97020,0.258,"High Wage / Low Risk"
Architects,96690,0.43,"High Wage / High Risk"
"Speech-language pathologists",95410,0.39,"High Wage / High Risk"
Psychologists,94310,0.49,"High Wage / High Risk"
"Registered nurses",93600,0.335,"High Wage / Low Risk"
"Labor relations specialists",93500,0.443,"High Wage / High Risk"
"Electrical power-line installers and repairers",92560,0,"High Wage / Low Risk"
Audiologists,92120,0.455,"High Wage / High Risk"
Hydrologists,92060,0.531,"High Wage / High Risk"
"Technical writers",91670,0.633,"High Wage / High Risk"
"Operations research analysts",91290,0.629,"High Wage / High Risk"
"Financial examiners",90400,0.576,"High Wage / High Risk"
Models,89990,0.4,"High Wage / High Risk"
"Diagnostic medical sonographers",89340,0.289,"High Wage / Low Risk"
"Musicians and singers",88296,0.133,"High Wage / Low Risk"
"Farmers, ranchers, and other agricultural managers",87980,0.245,"High Wage / Low Risk"
"Budget analysts",87930,0.64,"High Wage / High Risk"
Microbiologists,87330,0.312,"High Wage / Low Risk"
"Chemists and materials scientists",86620,0.459,"High Wage / High Risk"
"Emergency management directors",86130,0.6,"High Wage / High Risk"
"Agricultural engineers",84630,0.333,"High Wage / Low Risk"
Epidemiologists,83980,0.558,"High Wage / High Risk"
"Urban and regional planners",83720,0.58,"High Wage / High Risk"
"Producers and directors",83480,0.437,"High Wage / High Risk"
"Accountants and auditors",81680,0.52,"High Wage / High Risk"
Logisticians,80880,0.597,"High Wage / High Risk"
"Fashion designers",80690,0.375,"High Wage / High Risk"
"Respiratory therapists",80450,0.19,"High Wage / Low Risk"
"Environmental scientists and specialists",80060,0.71,"High Wage / High Risk"
"Insurance underwriters",79880,0.5,"High Wage / High Risk"
"Aerospace engineering and operations technologists and technicians",79830,0.225,"High Wage / Low Risk"
"Landscape architects",79660,0.368,"High Wage / High Risk"
"Industrial designers",79450,0.414,"High Wage / High Risk"
Chiropractors,79000,0.318,"High Wage / Low Risk"
"Agricultural and food scientists",78770,0.658,"High Wage / High Risk"
"Compliance officers",78420,0.527,"High Wage / High Risk"
"Cartographers and photogrammetrists",78380,0.46,"High Wage / High Risk"
"Orthotists and prosthetists",78310,0.19,"High Wage / Low Risk"
"Social and community service managers",78240,0.446,"High Wage / High Risk"
"Securities, commodities, and financial services sales agents",78140,0.519,"High Wage / High Risk"
"Entertainment and recreation managers",77180,0.382,"High Wage / High Risk"
"Electrical and electronic engineering technologists and technicians",77180,0.33,"High Wage / Low Risk"
"Cost estimators",77070,0.481,"High Wage / High Risk"
"Compensation, benefits, and job analysis specialists",77020,0.474,"High Wage / High Risk"
"Market research analysts",76950,0.543,"High Wage / High Risk"
"Claims adjusters, appraisers, examiners, and investigators",76790,0.495,"High Wage / High Risk"
"Fire inspectors",75480,0.38,"Low Wage / High Risk"
Editors,75260,0.647,"Low Wage / High Risk"
"Stationary engineers and boiler operators",75190,0.105,"Low Wage / Low Risk"
"Instructional coordinators",74720,0.525,"Low Wage / High Risk"
"Loan officers",74180,0.648,"Low Wage / High Risk"
Historians,74050,0.5,"Low Wage / High Risk"
"Dietitians and nutritionists",73850,0.463,"Low Wage / High Risk"
Boilermakers,73340,0,"Low Wage / Low Risk"
"Human resources specialists",72910,0.589,"Low Wage / High Risk"
"Zoologists and wildlife biologists",72860,0.524,"Low Wage / High Risk"
Surveyors,72740,0.42,"Low Wage / High Risk"
"Writers and authors",72270,0.774,"Low Wage / High Risk"
"Construction and building inspectors",72120,0.282,"Low Wage / Low Risk"
"Electro-mechanical and mechatronics technologists and technicians",70760,0.221,"Low Wage / Low Risk"
"Film and video editors and camera operators",70570,0.327,"Low Wage / Low Risk"
"Public relations specialists",69780,0.788,"Low Wage / High Risk"
"Conservation scientists and foresters",69060,0.424,"Low Wage / High Risk"
"Mechanical engineering technologists and technicians",68730,0.315,"Low Wage / Low Risk"
"Lodging managers",68130,0.38,"Low Wage / High Risk"
"Arbitrators, mediators, and conciliators",67710,0.371,"Low Wage / High Risk"
"Forensic science technicians",67440,0.194,"Low Wage / Low Risk"
"Court reporters and simultaneous captioners",67310,0.521,"Low Wage / High Risk"
"Cardiovascular technologists and technicians",67260,0.171,"Low Wage / Low Risk"
"Flight attendants",67130,0.146,"Low Wage / Low Risk"
"Property, real estate, and community association managers",66700,0.432,"Low Wage / High Risk"
Fundraisers,66490,0.49,"Low Wage / High Risk"
"Set and exhibit designers",66280,0.359,"Low Wage / High Risk"
"Occupational therapy assistants and aides",66050,0.153,"Low Wage / Low Risk"
"Training and development specialists",65850,0.592,"Low Wage / High Risk"
"Property appraisers and assessors",65420,0.518,"Low Wage / High Risk"
Drafters,65380,0.492,"Low Wage / High Risk"
"Food service managers",65310,0.396,"Low Wage / High Risk"
"School and career counselors and advisors",65140,0.325,"Low Wage / Low Risk"
"Calibration technologists and technicians",65040,0.267,"Low Wage / Low Risk"
"Anthropologists and archeologists",64910,0.517,"Low Wage / High Risk"
"Industrial engineering technologists and technicians",64790,0.368,"Low Wage / High Risk"
"High school teachers",64580,0.341,"Low Wage / Low Risk"
"Probation officers and correctional treatment specialists",64520,0.447,"Low Wage / High Risk"
"Librarians and library media specialists",64320,0.5,"Low Wage / High Risk"
"Special education teachers",64270,0.31,"Low Wage / Low Risk"
"Civil engineering technologists and technicians",64200,0.477,"Low Wage / High Risk"
"Marriage and family therapists",63780,0.278,"Low Wage / Low Risk"
"Music directors and composers",63670,0.281,"Low Wage / Low Risk"
"Interior designers",63490,0.362,"Low Wage / High Risk"
"Survey researchers",63380,0.844,"Low Wage / High Risk"
"Health education specialists",63000,0.5,"Low Wage / High Risk"
"Middle school teachers",62970,0.341,"Low Wage / Low Risk"
"Plumbers, pipefitters, and steamfitters",62970,0.064,"Low Wage / Low Risk"
"Heavy vehicle and mobile equipment service technicians",62740,0.121,"Low Wage / Low Risk"
"Medical equipment repairers",62630,0.273,"Low Wage / Low Risk"
"Wind turbine technicians",62580,0.043,"Low Wage / Low Risk"
"Athletes and sports competitors",62360,0,"Low Wage / Low Risk"
Electricians,62350,0.146,"Low Wage / Low Risk"
"Licensed practical and licensed vocational nurses",62340,0.25,"Low Wage / Low Risk"
"Clinical laboratory technologists and technicians",61890,0.123,"Low Wage / Low Risk"
"Advertising sales agents",61460,0.692,"Low Wage / High Risk"
"Social workers",61330,0.359,"Low Wage / High Risk"
"Graphic designers",61300,0.411,"Low Wage / High Risk"
"Paralegals and legal assistants",61010,0.45,"Low Wage / High Risk"
"Chefs and head cooks",60990,0.262,"Low Wage / Low Risk"
"Sheet metal workers",60850,0.039,"Low Wage / Low Risk"
"Diesel service technicians and mechanics",60640,0,"Low Wage / Low Risk"
"Insurance sales agents",60370,0.53,"Low Wage / High Risk"
"News analysts, reporters, and journalists",60280,0.633,"Low Wage / High Risk"
"Recreational therapists",60280,0.364,"Low Wage / High Risk"
"Athletic trainers",60250,0.407,"Low Wage / High Risk"
"Physical therapist assistants and aides",60050,0.127,"Low Wage / Low Risk"
"Adult basic and secondary education and ESL teachers",59950,0.426,"Low Wage / High Risk"
"Heating, air conditioning, and refrigeration mechanics and installers",59810,0.14,"Low Wage / Low Risk"
"Tax examiners and collectors, and revenue agents",59740,0.677,"Low Wage / High Risk"
Firefighters,59530,0.088,"Low Wage / Low Risk"
"Interpreters and translators",59440,0.84,"Low Wage / High Risk"
"Meeting, convention, and event planners",59440,0.365,"Low Wage / High Risk"
Carpenters,59310,0.089,"Low Wage / Low Risk"
"Substance abuse, behavioral disorder, and mental health counselors",59190,0.325,"Low Wage / Low Risk"
"Real estate brokers and sales agents",58960,0.416,"Low Wage / High Risk"
"Environmental engineering technologists and technicians",58890,0.434,"Low Wage / High Risk"
"Drywall installers, ceiling tile installers, and tapers",58800,0.01,"Low Wage / Low Risk"
"Construction equipment operators",58320,0.029,"Low Wage / Low Risk"
"Water and wastewater treatment plant and system operators",58260,0.125,"Low Wage / Low Risk"
"Exercise physiologists",58160,0.34,"Low Wage / Low Risk"
"Correctional officers and bailiffs",57950,0.2,"Low Wage / Low Risk"
"Massage therapists",57950,0.185,"Low Wage / Low Risk"
"Postal service workers",57870,0.25,"Low Wage / Low Risk"
"Chemical technicians",57790,0.393,"Low Wage / High Risk"
"Heavy and tractor-trailer truck drivers",57440,0.173,"Low Wage / Low Risk"
"Archivists, curators, and museum workers",57100,0.418,"Low Wage / High Risk"
"Broadcast, sound, and video technicians",56600,0.221,"Low Wage / Low Risk"
"Preschool and childcare center directors",56270,0.516,"Low Wage / High Risk"
Glaziers,55440,0.031,"Low Wage / Low Risk"
"Desktop publishers",53620,0.484,"Low Wage / High Risk"
"Private detectives and investigators",52370,0.389,"Low Wage / High Risk"
"Biological technicians",52000,0.267,"Low Wage / Low Risk"
"Flooring installers and tile and stone setters",52000,0.017,"Low Wage / Low Risk"
"Surveying and mapping technicians",51940,0.511,"Low Wage / High Risk"
"Solar photovoltaic installers",51860,0.11,"Low Wage / Low Risk"
"Semiconductor processing technicians",51180,0.062,"Low Wage / Low Risk"
"Community health workers",51030,0.347,"Low Wage / Low Risk"
"Dancers and choreographers",51022,0.107,"Low Wage / Low Risk"
"Welders, cutters, solderers, and brazers",51000,0.039,"Low Wage / Low Risk"
Roofers,50970,0,"Low Wage / Low Risk"
"Public safety telecommunicators",50730,0.594,"Low Wage / High Risk"
"Insulation workers",50730,0.073,"Low Wage / Low Risk"
"Credit counselors",50480,0.693,"Low Wage / High Risk"
"Medical records specialists",50250,0.559,"Low Wage / High Risk"
"Automotive service technicians and mechanics",49670,0.073,"Low Wage / Low Risk"
"Logging workers",49540,0.115,"Low Wage / Low Risk"
"Environmental science and protection technicians",49490,0.422,"Low Wage / High Risk"
"Bookkeeping, accounting, and auditing clerks",49210,0.314,"Low Wage / Low Risk"
"Jewelers and precious stone and metal workers",49140,0.134,"Low Wage / Low Risk"
"Painters, construction and maintenance",48660,0.029,"Low Wage / Low Risk"
"General maintenance and repair workers",48620,0.078,"Low Wage / Low Risk"
Actors,48526,0.156,"Low Wage / Low Risk"
"Hazardous materials removal workers",48490,0.032,"Low Wage / Low Risk"
"Agricultural and food science technicians",48480,0.31,"Low Wage / Low Risk"
"Travel agents",48450,0.562,"Low Wage / High Risk"
"Small engine mechanics",48240,0.049,"Low Wage / Low Risk"
"Quality control inspectors",47460,0.177,"Low Wage / Low Risk"
"Painting and coating workers",47390,0.02,"Low Wage / Low Risk"
"Dental assistants",47300,0.1,"Low Wage / Low Risk"
Opticians,46560,0.238,"Low Wage / Low Risk"
"EMTs and paramedics",46350,0.2,"Low Wage / Low Risk"
"Fitness trainers and instructors",46180,0.235,"Low Wage / Low Risk"
"Rehabilitation counselors",46110,0.468,"Low Wage / High Risk"
"Bill and account collectors",46040,0.429,"Low Wage / High Risk"
"Veterinary technologists and technicians",45980,0.148,"Low Wage / Low Risk"
"Coaches and scouts",45920,0.144,"Low Wage / Low Risk"
"Dental and ophthalmic laboratory technicians and medical appliance technicians",45820,0.069,"Low Wage / Low Risk"
"Social and human service assistants",45120,0.375,"Low Wage / High Risk"
"Pest control workers",44730,0.229,"Low Wage / Low Risk"
"Medical assistants",44200,0.141,"Low Wage / Low Risk"
"Forest and conservation workers",43680,0.065,"Low Wage / Low Risk"
Phlebotomists,43660,0.11,"Low Wage / Low Risk"
"General office clerks",43630,0.5,"Low Wage / High Risk"
"Pharmacy technicians",43460,0.426,"Low Wage / High Risk"
"Customer service representatives",42830,0.705,"Low Wage / High Risk"
Photographers,42520,0.219,"Low Wage / Low Risk"
"Skincare specialists",41560,0.106,"Low Wage / Low Risk"
Tellers,39340,0.333,"Low Wage / Low Risk"
Butchers,38960,0.026,"Low Wage / Low Risk"
"Umpires, referees, and other sports officials",38820,0.167,"Low Wage / Low Risk"
"Security guards and gambling surveillance officers",38390,0.281,"Low Wage / Low Risk"
"Medical transcriptionists",37550,0.232,"Low Wage / Low Risk"
Concierges,37320,0.7,"Low Wage / High Risk"
"Veterinary assistants and laboratory animal caretakers",37320,0.148,"Low Wage / Low Risk"
Receptionists,37230,0.583,"Low Wage / High Risk"
"Preschool teachers",37120,0.311,"Low Wage / Low Risk"
"Tour and travel guides",36660,0.373,"Low Wage / High Risk"
Bakers,36650,0.118,"Low Wage / Low Risk"
"Floral designers",36120,0.267,"Low Wage / Low Risk"
"Janitors and building cleaners",35930,0.028,"Low Wage / Low Risk"
Cooks,35760,0.103,"Low Wage / Low Risk"
"Barbers, hairstylists, and cosmetologists",35420,0.063,"Low Wage / Low Risk"
"Recreation workers",35380,0.25,"Low Wage / Low Risk"
"Teacher assistants",35240,0.299,"Low Wage / Low Risk"
"Manicurists and pedicurists",34660,0.056,"Low Wage / Low Risk"
"Food preparation workers",34220,0.046,"Low Wage / Low Risk"
"Waiters and waitresses",33760,0.224,"Low Wage / Low Risk"
Bartenders,33530,0.139,"Low Wage / Low Risk"
"Childcare workers",32050,0.34,"Low Wage / Low Risk"
Cashiers,31190,0.36,"Low Wage / High Risk"
