soc_code,occupation_title,category_id,education_id,employment,annual_wage,ai_exposure,ai_exposure_llm_human,ai_exposure_aioe,exposure_level,verbal_ability,quant_ability,spatial_ability,reasoning_ability,ai_exposure_llm_gpt4
19-1042,"Medical scientists",1,4,165300,100590,0.568,0.568,1.28,High,4.093,3.125,1.625,3.714,0.523
19-2010,"Physicists and astronomers",1,4,26400,166290,0.529,0.529,1.36,High,4.047,4.188,2.315,3.876,0.594
19-2021,"Atmospheric scientists, including meteorologists",1,2,9400,97450,0.609,0.609,1.374,High,4.218,3.125,1.81,3.589,0.565
19-2030,"Chemists and materials scientists",1,2,95500,86620,0.459,0.459,0.767,High,3.952,3.438,2.125,3.651,0.431
19-2041,"Environmental scientists and specialists",1,2,90300,80060,0.71,0.71,1.014,High,3.992,3.202,2.157,3.572,0.522
19-2042,Geoscientists,1,2,25100,99240,0.478,0.478,0.714,High,4,3.435,2.44,3.749,0.467
19-2043,Hydrologists,1,2,6300,92060,0.531,0.531,0.641,High,4,3.565,2.375,3.68,0.5
19-3011,Economists,1,1,17600,115440,0.617,0.617,1.404,High,3.922,3.72,1.815,3.491,0.553
19-3022,"Survey researchers",1,1,8800,63380,0.844,0.844,1.427,High,4.06,3.94,1.69,3.589,0.625
19-3030,Psychologists,1,6,204300,94310,0.49,0.49,1.416,High,4.301,2.916,1.868,3.86,0.426
19-3041,Sociologists,1,1,3400,101690,0.615,0.615,1.411,High,4.185,2.435,1.5,3.374,0.538
19-3051,"Urban and regional planners",1,1,44700,83720,0.58,0.58,1.228,High,4.03,2.94,2.63,3.609,0.477
19-3091,"Anthropologists and archeologists",1,1,8800,64910,0.517,0.517,0.697,High,4.203,2.815,2.155,3.785,0.44
19-3092,Geographers,1,2,1500,97200,0.375,0.375,1.436,Medium,4,3,1.94,3.697,0.5
19-3093,Historians,1,1,3400,74050,0.5,0.5,1.099,High,4.25,1.81,1.5,3.359,0.474
19-3094,"Political scientists",1,1,6500,139380,0.542,0.542,1.419,High,4.125,2.565,1.5,3.34,0.479
19-4010,"Agricultural and food science technicians",1,7,38900,48480,0.31,0.31,0.096,Medium,3.67,3.093,2.188,3.25,0.383
19-4021,"Biological technicians",1,2,82700,52000,0.267,0.267,0.301,Low,3.718,3,2.06,3.447,0.417
19-4031,"Chemical technicians",1,7,57000,57790,0.393,0.393,0.063,Medium,3.69,2.94,2,3.483,0.393
19-4042,"Environmental science and protection technicians",1,7,40400,49490,0.422,0.422,0.083,Medium,3.657,2.81,2.22,3.244,0.456
19-4051,"Nuclear technicians",1,7,6000,104240,0.284,0.284,0.17,Medium,3.719,3.06,2.22,3.536,0.185
19-4092,"Forensic science technicians",1,2,20700,67440,0.194,0.194,0.24,Low,3.907,2.685,2.5,3.606,0.387
21-1012,"School and career counselors and advisors",13,1,376300,65140,0.325,0.325,0.974,Medium,4.123,2.375,1.81,3.573,0.289
21-1013,"Marriage and family therapists",13,1,77800,63780,0.278,0.278,1.367,Medium,4.125,2.12,1.625,3.766,0.111
21-1015,"Rehabilitation counselors",13,1,91900,46110,0.468,0.468,0.503,High,4,2.06,1.5,3.284,0.355
21-1018,"Substance abuse, behavioral disorder, and mental health counselors",13,1,483500,59190,0.325,0.325,1.043,Medium,4.136,2.147,1.662,3.589,0.242
21-1020,"Social workers",13,6,810900,61330,0.359,0.359,0.943,Medium,4.165,2.143,1.728,3.624,0.286
21-1091,"Health education specialists",13,2,71800,63000,0.5,0.5,0.692,High,4.095,2.12,1.88,3.339,0.532
21-1092,"Probation officers and correctional treatment specialists",13,2,92300,64520,0.447,0.447,0.527,Medium,3.81,1.88,1.565,3.286,0.395
21-1093,"Social and human service assistants",13,3,449600,45120,0.375,0.375,0.465,Medium,3.812,2.25,2.065,3.18,0.393
21-1094,"Community health workers",13,3,65100,51030,0.347,0.347,0.037,Medium,4,2.25,2.125,3.321,0.319
23-1011,Lawyers,12,4,864800,151160,0.475,0.475,1.329,High,4.5,2.5,1.75,3.84,0.425
23-1022,"Arbitrators, mediators, and conciliators",12,2,9100,67710,0.371,0.371,1.432,Medium,4,2,1.625,3.427,0.5
23-2011,"Paralegals and legal assistants",12,7,376200,61010,0.45,0.45,1.292,Medium,4.03,2.06,1.56,3.18,0.525
25-2011,"Preschool teachers",11,7,555100,37120,0.311,0.311,0.031,Medium,3.782,2.375,2.13,3.571,0.227
25-2022,"Middle school teachers",11,2,633700,62970,0.341,0.341,1.286,Medium,4,2.88,1.81,3.41,0.348
25-2031,"High school teachers",11,2,1094500,64580,0.341,0.341,1.191,Medium,4.062,2.875,1.94,3.64,0.333
25-2050,"Special education teachers",11,2,559500,64270,0.31,0.31,0.54,Medium,4.024,2.641,1.812,3.506,0.308
25-3011,"Adult basic and secondary education and ESL teachers",11,2,40900,59950,0.426,0.426,1.349,Medium,4.032,2.88,1.5,3.233,0.404
25-4010,"Archivists, curators, and museum workers",11,6,40200,57100,0.418,0.418,0.441,Medium,3.782,2.46,2.147,3.417,0.412
25-4022,"Librarians and library media specialists",11,1,142100,64320,0.5,0.5,1.037,High,3.91,2.31,1.625,3.429,0.535
25-9031,"Instructional coordinators",11,1,232600,74720,0.525,0.525,1.302,High,4.266,2.69,2,3.723,0.488
25-9045,"Teacher assistants",11,9,1422800,35240,0.299,0.299,0.452,Medium,3.378,1.88,1.685,2.947,0.388
27-1011,"Art directors",14,2,135000,111040,0.431,0.431,1.023,Medium,3.845,2.565,2.31,3.803,0.5
27-1014,"Special effects artists and animators",14,2,57100,99800,0.475,0.475,0.706,High,3.782,2.56,2.435,3.394,0.525
27-1021,"Industrial designers",14,2,30600,79450,0.414,0.414,0.867,Medium,3.625,2.69,2.5,3.554,0.466
27-1022,"Fashion designers",14,2,25700,80690,0.375,0.375,0.58,Medium,3.91,2.315,2.505,3.753,0.391
27-1023,"Floral designers",14,3,43800,36120,0.267,0.267,-0.272,Low,3.47,2.185,2.75,3.233,0.2
27-1024,"Graphic designers",14,2,265900,61300,0.411,0.411,0.716,Medium,3.688,2,2.19,3.391,0.5
27-1025,"Interior designers",14,2,87100,63490,0.362,0.362,1.122,Medium,3.938,2.94,2.875,3.643,0.5
27-1027,"Set and exhibit designers",14,2,31300,66280,0.359,0.359,-0.052,Medium,3.815,3.06,3.06,3.747,0.391
27-2011,Actors,15,9,57000,48526,0.156,0.156,0.159,Low,3.72,1.06,1.81,3.037,0.188
27-2012,"Producers and directors",15,2,167000,83480,0.437,0.437,0.939,Medium,4.032,2.449,2.05,3.616,0.47
27-2021,"Athletes and sports competitors",15,8,19100,62360,0,0,-1.814,Low,3.47,2.12,2.44,3.2,0
27-2022,"Coaches and scouts",15,2,306500,45920,0.144,0.144,0.117,Low,3.968,2.315,2.69,3.786,0.3
27-2023,"Umpires, referees, and other sports officials",15,3,19300,38820,0.167,0.167,-0.033,Low,3.188,2.44,2.25,2.949,0.312
27-2030,"Dancers and choreographers",15,6,17000,51022,0.107,0.107,-2.123,Low,3.454,1.815,2.782,3.322,0.146
27-2041,"Music directors and composers",15,2,47300,63670,0.281,0.281,0.883,Medium,3.549,2.095,1.842,3.421,0.711
27-2042,"Musicians and singers",15,8,169800,88296,0.133,0.133,-0.004,Low,3.189,1.658,1.91,3.046,0.408
27-3023,"News analysts, reporters, and journalists",2,2,49300,60280,0.633,0.633,1.175,High,4.093,1.968,1.685,3.5,0.65
27-3031,"Public relations specialists",2,2,315900,69780,0.788,0.788,1.285,High,4.127,2.06,1.625,3.463,0.591
27-3041,Editors,2,2,115800,75260,0.647,0.647,1.128,High,4.375,2.06,1.94,3.52,0.647
27-3042,"Technical writers",2,2,56400,91670,0.633,0.633,1.184,High,4,1.88,2.125,3.287,0.7
27-3043,"Writers and authors",2,2,135400,72270,0.774,0.774,0.988,High,4.108,1.872,1.782,3.456,0.877
27-3091,"Interpreters and translators",2,2,75300,59440,0.84,0.84,1.111,High,4.095,1.88,1.75,3.213,0.88
27-3092,"Court reporters and simultaneous captioners",12,5,17700,67310,0.521,0.521,1.111,High,4.095,1.88,1.75,3.213,0.958
27-4010,"Broadcast, sound, and video technicians",2,6,146100,56600,0.221,0.221,0.377,Low,3.624,2.22,2.034,3.224,0.386
27-4021,Photographers,2,3,151200,42520,0.219,0.219,-0.168,Low,3.472,2,2.685,3.247,0.385
27-4030,"Film and video editors and camera operators",2,2,79900,70570,0.327,0.327,0.269,Medium,3.39,2.185,2.655,3.322,0.476
29-1011,Chiropractors,7,4,57200,79000,0.318,0.318,-0.191,Medium,3.97,2.375,1.94,3.536,0.455
29-1020,Dentists,7,4,149300,179210,0.149,0.149,-0.104,Low,3.828,2.702,2.266,3.606,0.159
29-1031,"Dietitians and nutritionists",7,2,90900,73850,0.463,0.463,1.343,High,4,2.94,1.81,3.714,0.549
29-1041,Optometrists,7,4,47800,134830,0.05,0.05,0.504,Low,3.843,3,2,3.641,0.3
29-1051,Pharmacists,7,4,335100,137480,0.4,0.4,0.606,Medium,4.125,3.315,1.81,3.609,0.429
29-1071,"Physician assistants",7,1,162700,133260,0.11,0.11,0.106,Low,3.936,2.97,1.94,3.517,0.271
29-1081,Podiatrists,7,4,9700,152800,0.286,0.286,0.628,Medium,4,2.815,2.06,3.64,0.286
29-1122,"Occupational therapists",7,1,160000,98340,0.341,0.341,0.115,Medium,3.938,2.405,2.22,3.553,0.289
29-1123,"Physical therapists",7,4,267200,101020,0.34,0.34,-0.358,Medium,4,2.56,2.12,3.571,0.191
29-1124,"Radiation therapists",7,7,19200,101990,0.171,0.171,-0.219,Low,3.812,2.75,2.44,3.231,0.28
29-1125,"Recreational therapists",7,2,16100,60280,0.364,0.364,0.219,Medium,3.969,2.142,1.957,3.559,0.318
29-1126,"Respiratory therapists",7,7,139600,80450,0.19,0.19,-0.188,Low,3.782,2.88,1.94,3.503,0.202
29-1127,"Speech-language pathologists",7,1,187400,95410,0.39,0.39,1.146,Medium,4.002,2.435,1.81,3.75,0.451
29-1128,"Exercise physiologists",7,2,23900,58160,0.34,0.34,-0.033,Medium,4.03,2.88,1.935,3.627,0.26
29-1131,Veterinarians,7,4,86400,125510,0.23,0.23,-0.075,Low,3.815,2.88,2,3.657,0.27
29-1141,"Registered nurses",7,2,3391000,93600,0.335,0.335,0.229,Medium,4.018,2.765,1.898,3.654,0.38
29-1181,Audiologists,7,4,15800,92120,0.455,0.455,0.633,High,3.938,2.5,1.87,3.5,0.455
29-2010,"Clinical laboratory technologists and technicians",7,2,351200,61890,0.123,0.123,0.077,Low,3.547,2.883,1.962,3.268,0.254
29-2031,"Cardiovascular technologists and technicians",7,7,64700,67260,0.171,0.171,-0.091,Low,3.75,2.56,1.875,3.32,0.357
29-2032,"Diagnostic medical sonographers",7,7,90000,89340,0.289,0.289,-0.264,Medium,3.878,2.185,2,3.286,0.303
29-2033,"Nuclear medicine technologists",7,7,20000,97020,0.258,0.258,0.086,Low,3.812,3.12,1.94,3.359,0.29
29-2036,"Medical dosimetrists",7,2,4800,138110,0.3,0.3,-0.18,Medium,3.831,2.521,1.963,3.304,0.45
29-2040,"EMTs and paramedics",7,5,282900,46350,0.2,0.2,-0.686,Low,3.688,2.56,2.81,3.57,0.181
29-2052,"Pharmacy technicians",7,3,490400,43460,0.426,0.426,0.007,Medium,3.66,3.12,1.69,3.124,0.426
29-2056,"Veterinary technologists and technicians",7,7,134200,45980,0.148,0.148,-0.362,Low,3.688,3,1.94,3.394,0.164
29-2061,"Licensed practical and licensed vocational nurses",7,5,651400,62340,0.25,0.25,-0.514,Low,3.845,2.815,1.81,3.393,0.25
29-2072,"Medical records specialists",7,5,194800,50250,0.559,0.559,0.574,High,3.375,2.125,1.44,2.84,0.618
29-2081,Opticians,7,3,79900,46560,0.238,0.238,0.101,Low,3.875,2.75,1.94,3.123,0.286
29-2091,"Orthotists and prosthetists",7,1,10100,78310,0.19,0.19,0.067,Low,3.905,2.565,2.25,3.59,0.276
29-9091,"Athletic trainers",7,1,33900,60250,0.407,0.407,-0.331,Medium,3.843,2,2,3.589,0.279
29-9092,"Genetic counselors",7,1,4000,98910,0.632,0.632,1.528,High,4.062,3,1.81,3.623,0.5
31-2010,"Occupational therapy assistants and aides",7,6,54400,66050,0.153,0.153,-0.544,Low,3.721,2.152,1.78,3.161,0.254
31-2020,"Physical therapist assistants and aides",7,6,157100,60050,0.127,0.127,-0.707,Low,3.406,2.093,1.938,3.001,0.168
31-9011,"Massage therapists",7,5,168000,57950,0.185,0.185,-1.41,Low,3.375,1.75,1.56,2.947,0.074
31-9091,"Dental assistants",7,5,381900,47300,0.1,0.1,-0.527,Low,3.565,2.185,1.685,3.034,0.267
31-9092,"Medical assistants",7,5,811000,44200,0.141,0.141,0.15,Low,3.845,2.75,1.75,3.177,0.359
31-9094,"Medical transcriptionists",7,5,43900,37550,0.232,0.232,1.063,Low,4.03,1.94,1.31,2.767,0.875
31-9096,"Veterinary assistants and laboratory animal caretakers",7,3,117800,37320,0.148,0.148,-0.774,Low,3.125,2.815,1.69,2.784,0.222
31-9097,Phlebotomists,7,5,139700,43660,0.11,0.11,-0.278,Low,3.252,2.315,1.75,3.106,0.183
33-2011,Firefighters,16,5,344900,59530,0.088,0.088,-1.32,Low,3.501,2.09,3.282,3.329,0.14
33-2020,"Fire inspectors",16,6,17600,75480,0.38,0.38,-0.076,Medium,3.752,2.486,2.611,3.563,0.254
33-3010,"Correctional officers and bailiffs",16,3,406500,57950,0.2,0.2,-0.699,Low,3.421,1.75,1.905,2.901,0.149
33-9021,"Private detectives and investigators",16,3,43600,52370,0.389,0.389,0.748,Medium,3.94,2.44,2.065,3.517,0.389
33-9030,"Security guards and gambling surveillance officers",16,3,1272400,38390,0.281,0.281,0.169,Medium,3.329,1.91,1.935,2.956,0.302
35-1011,"Chefs and head cooks",20,3,197300,60990,0.262,0.262,-0.268,Low,3.56,3.12,1.94,3.446,0.262
35-2010,Cooks,20,6,2805100,35760,0.103,0.103,-0.694,Low,3.006,2.323,1.812,2.843,0.091
35-2021,"Food preparation workers",20,8,902700,34220,0.046,0.046,-1.226,Low,2.688,2,1.81,2.59,0.037
35-3011,Bartenders,20,8,756700,33530,0.139,0.139,-0.616,Low,3.407,2.375,1.875,2.966,0.194
35-3031,"Waiters and waitresses",20,8,2329700,33760,0.224,0.224,-0.948,Low,3.285,2.06,1.81,2.66,0.184
37-2011,"Janitors and building cleaners",21,8,2447700,35930,0.028,0.028,-1.436,Low,2.53,1.25,1.75,2.573,0
37-2021,"Pest control workers",21,3,102400,44730,0.229,0.229,-0.726,Low,3.593,2.75,2.81,3.267,0.25
39-5010,"Barbers, hairstylists, and cosmetologists",4,5,651200,35420,0.063,0.063,-0.706,Low,3.156,2.032,2.125,2.929,0.12
39-5092,"Manicurists and pedicurists",4,5,210100,34660,0.056,0.056,0.034,Low,2.625,1.565,1.75,2.551,0.083
39-5094,"Skincare specialists",4,5,97400,41560,0.106,0.106,-0.263,Low,3.502,1.5,1.625,2.966,0.197
39-6012,Concierges,4,3,45600,37320,0.7,0.7,0.856,High,3.625,2.12,1.87,3.247,0.467
39-7010,"Tour and travel guides",4,3,55800,36660,0.373,0.373,0.483,Medium,3.486,2.312,2.312,2.931,0.325
39-9011,"Childcare workers",4,3,991600,32050,0.34,0.34,-0.383,Medium,3.516,1.875,2.22,3.231,0.141
39-9031,"Fitness trainers and instructors",4,3,370100,46180,0.235,0.235,-2.112,Low,3.157,1.62,2,2.983,0.015
39-9032,"Recreation workers",4,3,327700,35380,0.25,0.25,-0.244,Low,3.625,2.185,1.81,3.193,0.238
41-2011,Cashiers,6,8,3157200,31190,0.36,0.36,-0.248,Medium,3.31,2.94,1.5,2.68,0.209
41-3011,"Advertising sales agents",6,3,103700,61460,0.692,0.692,1.163,High,3.875,2.75,2.13,3.123,0.538
41-3021,"Insurance sales agents",6,3,568800,60370,0.53,0.53,1.341,High,3.905,3.06,1.5,3.07,0.576
41-3031,"Securities, commodities, and financial services sales agents",6,2,514500,78140,0.519,0.519,1.256,High,3.856,3.19,1.52,3.447,0.606
41-3041,"Travel agents",6,3,65700,48450,0.562,0.562,1.134,High,3.72,2.94,1.625,3.124,0.562
41-9012,Models,6,8,6700,89990,0.4,0.4,-1.122,Medium,2.69,1.5,1.875,2.343,0.233
41-9020,"Real estate brokers and sales agents",6,3,532200,58960,0.416,0.416,1.007,Medium,3.812,2.688,2.062,3.089,0.469
41-9031,"Sales engineers",6,2,56800,121520,0.534,0.534,1.145,High,3.998,3.185,1.94,3.697,0.511
43-3011,"Bill and account collectors",3,3,166900,46040,0.429,0.429,1.272,Medium,3.655,2.685,1.56,2.806,0.696
43-3031,"Bookkeeping, accounting, and auditing clerks",3,9,1613400,49210,0.314,0.314,1.04,Medium,3.75,3.69,1.5,2.837,0.802
43-3071,Tellers,3,3,347400,39340,0.333,0.333,0.473,Medium,3.595,3.5,1.56,3.07,0.542
43-4051,"Customer service representatives",3,3,2814000,42830,0.705,0.705,0.956,High,3.86,2.407,1.5,3.196,0.568
43-4171,Receptionists,3,3,1007200,37230,0.583,0.583,1.013,High,3.69,2.62,1.56,2.697,0.533
43-5031,"Public safety telecommunicators",3,3,105200,50730,0.594,0.594,0.907,High,3.78,2.12,1.88,3.483,0.656
43-5050,"Postal service workers",3,8,500000,57870,0.25,0.25,-0.923,Low,3.074,2.228,1.79,2.713,0.215
43-9031,"Desktop publishers",3,7,5000,53620,0.484,0.484,0.344,High,3.562,2.44,2.81,3.643,0.645
